"phase2a1_record_id","query_id","search_date","search_source","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_depth","full_text_access_status","evidence_location","proposed_corpus_record","raw_snapshot","notes"
"A1DEF-0067","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","Estimation of a Parameter and Its Exact Confidence Interval Following Sequential Sample Size Reestimation Trials","Yi Cheng; Yu Shen","2004","10.1111/j.0006-341x.2004.00246.x","https://doi.org/10.1111/j.0006-341x.2004.00246.x","A1DEF-DUP-0065","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0068","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","ExactCox: Exact Test and Exact Confidence Interval for the Cox Model","Yongwu Shao","2024","10.32614/cran.package.exactcox","https://doi.org/10.32614/cran.package.exactcox","A1DEF-DUP-0066","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0069","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","Table S2: Parameter estimates and 95% confidence intervals derived by model averaging across the confidence set of models","","","10.7717/peerj.7208/supp-2","https://doi.org/10.7717/peerj.7208/supp-2","A1DEF-DUP-0067","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0070","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","Exact two-sample nonparametric confidence, prediction, and tolerance intervals based on ordinary and progressively type-II right censored data","N. Balakrishnan; E. Beutner; E. Cramer","2008","10.1007/s11749-008-0133-7","https://doi.org/10.1007/s11749-008-0133-7","A1DEF-DUP-0068","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0071","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","The Exact Finite Sample Distribution Function of the Limited Information Maximum Likelihood Identifiability Test Statistic","James B. McDonald","1972","10.2307/1913858","https://doi.org/10.2307/1913858","A1DEF-DUP-0069","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0072","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","Using the prior mean of a nuisance parameter","Julián de la Horra","1992","10.1007/bf02562659","https://doi.org/10.1007/bf02562659","A1DEF-DUP-0070","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0073","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","A smoothed p-value test when there is a nuisance parameter under the alternative","Jonathan B. Hill","2024","10.1016/j.jspi.2023.08.001","https://doi.org/10.1016/j.jspi.2023.08.001","A1DEF-DUP-0071","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0074","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","Exact Confidence Intervals in Distributions with One Parameter","Xianggui Qu","2026","10.3390/foundations6030028","https://doi.org/10.3390/foundations6030028","A1DEF-DUP-0072","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0075","PHASE2A1-SEARCH-0025","2026-07-31","Crossref","Non-informative nuisance parameter principle for weighted likelihood test using adaptive significance levels in count data","Andrés Felipe Flórez Rivera","","10.11606/t.45.2020.tde-19102020-141530","https://doi.org/10.11606/t.45.2020.tde-19102020-141530","A1DEF-DUP-0073","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0025_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0076","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Bootstrap confidence intervals","Thomas J. DiCiccio; Bradley Efron","1996","10.1214/ss/1032280214","https://openalex.org/W1507985183","A1DEF-DUP-0074","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0077","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","The clustering of galaxies in the completed SDSS-III Baryon Oscillation Spectroscopic Survey: cosmological analysis of the DR12 galaxy sample","Shadab Alam; M. Ata; S. Bailey; Florian Beutler; Dmitry Bizyaev; J. Blazek; A. Bolton; Joel R. Brownstein; A. Burden; Chia-Hsun Chuang; Johan Comparat; Antonio J. Cuesta; Kyle Dawson; Daniel J. Eisenstein; S. Escoffier; Héctor Gil-Marín; Jan Niklas Grieb; Nick Hand; Shirley Ho; Karen Kinemuchi; D. Kirkby; Francisco-Shu Kitaura; Elena Malanushenko; Viktor Malanushenko; Claudia Maraston; Cameron K. McBride; Robert C. Nichol; Matthew D. Olmstead; Daniel Oravetz; Nikhil Padmanabhan; N. Palanque‐Delabrouille; Kaike Pan; Marcos Pellejero-Ibáñez; Will J. Percival; Patrick Petitjean; Francisco Prada; Adrian M. Price-Whelan; Beth Reid; Sergio Rodríguez-Torres; Natalie A. Roe; Ashley J. Ross; Nicholas P. Ross; Graziano Rossi; J. A. Rubiño-Martín; Shun Saito; Salvador Salazar-Albornoz; Lado Samushia; Ariel G. Sánchez; Siddharth Satpathy; David J. Schlegel; Donald P. Schneider; Claudia G. Scóccola; Hee‐Jong Seo; E. S. Sheldon; Audrey Simmons; Anže Slosar; Michael A. Strauss; Molly E. C. Swanson; D. Thomas; Jeremy L. Tinker; Rita Tojeiro; M. Vargas-Magaña; J. Alberto Vázquez; Licia Verde; David A. Wake; Yuting Wang; David H. Weinberg; Martin White; W. M. Wood‐Vasey; Christophe Yèche; Idit Zehavi; Zhongxu Zhai; Gong‐Bo Zhao","2017","10.1093/mnras/stx721","https://openalex.org/W2501864044","A1DEF-DUP-0075","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0078","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Wilcoxon-Mann-Whitney or t-test? On assumptions for hypothesis tests and multiple interpretations of decision rules","Michael P. Fay; Michael A. Proschan","2010","10.1214/09-ss051","https://openalex.org/W1974828111","A1DEF-DUP-0017","DUPLICATE","Duplicate occurrence of a record already dispositioned in this prospective ledger.","LEVEL_3_DISCOVERY","NOT_APPLICABLE","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Duplicate search occurrence; retained evidence is attached to the first occurrence."
"A1DEF-0079","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Fast Stable Restricted Maximum Likelihood and Marginal Likelihood Estimation of Semiparametric Generalized Linear Models","Simon N. Wood","2010","10.1111/j.1467-9868.2010.00749.x","https://openalex.org/W2119160928","A1DEF-DUP-0076","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0080","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Smoothing Parameter and Model Selection for General Smooth Models","Simon N. Wood; Natalya Pya; Benjamin Säfken","2016","10.1080/01621459.2016.1180986","https://openalex.org/W2593643174","A1DEF-DUP-0077","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0081","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","A NICER View of PSR J0030+0451: Millisecond Pulsar Parameter Estimation","T. E. Riley; A. L. Watts; S. Bogdanov; P. S. Ray; R. M. Ludlam; S. Guillot; Z. Arzoumanian; C. L. Baker; A. V. Bilous; D. Chakrabarty; K. C. Gendreau; A. K. Harding; W. C. G. Ho; J. M. Lattimer; S. M. Morsink; T. E. Strohmayer","2019","10.3847/2041-8213/ab481c","https://openalex.org/W2995178730","A1DEF-DUP-0078","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0082","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Double/Debiased Machine Learning for Treatment and Structural Parameters","Victor Chernozhukov; Denis Chetverikov; Mert Demirer; Esther Duflo; Christian Hansen; Whitney K. Newey; James M. Robins","2017","10.3386/w23564","https://openalex.org/W2890118063","A1DEF-DUP-0022","DUPLICATE","Duplicate occurrence of a record already dispositioned in this prospective ledger.","LEVEL_3_DISCOVERY","NOT_APPLICABLE","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Duplicate search occurrence; retained evidence is attached to the first occurrence."
"A1DEF-0083","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Properties of statistical tests of neutrality for DNA polymorphism data.","Katy L. Simonsen; Gary A. Churchill; Charles F. Aquadro","1995","10.1093/genetics/141.1.413","https://openalex.org/W2113420705","A1DEF-DUP-0079","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0084","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Residuals and Influence in Regression","Robert F. Ling; R. Dennis Cook; Sanford Weisberg","1984","10.2307/1269506","https://openalex.org/W2145147745","A1DEF-DUP-0080","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0085","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Smoothing Parameter and Model Selection for General Smooth Models","Simon N. Wood; Natalya Pya; Benjamin Säfken","2017","10.6084/m9.figshare.3405673","https://openalex.org/W3122992882","A1DEF-DUP-0081","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0086","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","P Values and Nuisance Parameters","Demortier, Luv","2008","10.5170/cern-2008-001.23","https://openalex.org/W2268205353","A1DEF-DUP-0082","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0087","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","A Conditional Approach for Multivariate Extreme Values (with Discussion)","Janet E. Heffernan; Jonathan A. Tawn","2004","10.1111/j.1467-9868.2004.02050.x","https://openalex.org/W2060597638","A1DEF-DUP-0083","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0088","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Monte Carlo Confidence Sets for Identified Sets","Xiaohong Chen; Timothy Christensen; Elie Tamer","2018","10.3982/ecta14525","https://openalex.org/W2951328177","A1DEF-DUP-0084","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0089","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Recent Developments in the Econometrics of Program Evaluation","Guido W. Imbens; Jeffrey M. Wooldridge","2009","10.1257/jel.47.1.5","https://openalex.org/W3121385028","A1DEF-DUP-0085","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0090","PHASE2A1-SEARCH-0026","2026-07-31","OpenAlex","Testing environmental and genetic effects in the presence of spatial autocorrelation","François Rousset; Jean‐Baptiste Ferdy","2014","10.1111/ecog.00566","https://openalex.org/W2140745789","A1DEF-DUP-0086","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0026_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0091","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Minimax Nonparametric Hypothesis Testing: The Case of an Inhomogeneous Alternative","Oleg V. Lepski; Vladimir G. Spokoiny","1999","10.2307/3318439","https://doi.org/10.2307/3318439","A1DEF-DUP-0087","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0092","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Minimax nonparametric hypothesis testing for ellipsoids and Besov bodies","Yuri I. Ingster; Irina A. Suslina","2000","10.1051/ps:2000100","https://doi.org/10.1051/ps:2000100","A1DEF-DUP-0088","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0093","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Asymptotically minimax testing of nonparametric hypotheses","","1987","10.1515/9783112319000-044","https://doi.org/10.1515/9783112319000-044","A1DEF-DUP-0089","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0094","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Adaptive, Rate‐Optimal Hypothesis Testing in Nonparametric IV Models","Christoph Breunig; Xiaohong Chen","2024","10.3982/ecta18602","https://doi.org/10.3982/ecta18602","A1DEF-DUP-0090","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0095","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Nonparametric pragmatic hypothesis testing","Rodrigo Ferrari Lucas Lassance","","10.11606/d.104.2022.tde-18112022-174413","https://doi.org/10.11606/d.104.2022.tde-18112022-174413","A1DEF-DUP-0091","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0096","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Minimax Testing of a Simple Hypothesis Against a Weakly Nonparametric Set of Alternatives","Yu. I. Ingster","1989","10.1137/1133083","https://doi.org/10.1137/1133083","A1DEF-DUP-0092","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0097","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Nonparametric Hypothesis Testing Report","Loc Nguyen","2018","10.31219/osf.io/3vxmy","https://doi.org/10.31219/osf.io/3vxmy","A1DEF-DUP-0093","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0098","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Minimax Decentralized Hypothesis Testing","Gökhan Gül","2017","10.1007/978-3-319-49286-5_7","https://doi.org/10.1007/978-3-319-49286-5_7","A1DEF-DUP-0094","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0099","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Three Essays on Nonparametric Hypothesis Testing and Stochastic Frontier Analysis","Taining Wang","","10.33915/etd.3930","https://doi.org/10.33915/etd.3930","A1DEF-DUP-0095","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0100","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","ON THE EQUIVALENCE BETWEEN BAYESIAN AND FREQUENTIST NONPARAMETRIC HYPOTHESIS TESTING","Qiuchen Hai","","10.37099/mtu.dc.etdr/507","https://doi.org/10.37099/mtu.dc.etdr/507","A1DEF-DUP-0096","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0101","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","WITHDRAWN: A Nonasymptotic Analysis of Gradient Descent Ascent for Nonconvex-Concave Minimax Problems","Junchi Li","2025","10.21203/rs.3.rs-4971487/v2","https://doi.org/10.21203/rs.3.rs-4971487/v2","A1DEF-DUP-0097","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0102","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Nonparametric Estimation and Hypothesis Testing in Econometric Models","Aman Ullah","1989","10.1007/978-3-642-51848-5_7","https://doi.org/10.1007/978-3-642-51848-5_7","A1DEF-DUP-0098","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0103","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Nonparametric Bayes regression, classification and hypothesis testing on manifolds","","2012","10.1017/cbo9781139094764.015","https://doi.org/10.1017/cbo9781139094764.015","A1DEF-DUP-0099","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0104","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Minimax Hypothesis Testing about the Density Support","Ghislaine Gayraud","2001","10.2307/3318499","https://doi.org/10.2307/3318499","A1DEF-DUP-0100","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0105","PHASE2A1-SEARCH-0027","2026-07-31","Crossref","Nonparametric Tests","","2014","10.1002/9781118762585.part6","https://doi.org/10.1002/9781118762585.part6","A1DEF-DUP-0101","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0027_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0106","PHASE2A1-SEARCH-0028","2026-07-31","OpenAlex","Propagation-Separation Approach for Local Likelihood Estimation","Jörg Polzehl; Vladimir Spokoiny","2005","10.1007/s00440-005-0464-1","https://openalex.org/W2000953144","A1DEF-DUP-0102","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0028_openalex.json","Discovery-only; not used in synthesis or an absence conclusion."
