"discovery_id","search_id","source","search_date","title","authors","year","doi_or_identifier","url","duplicate_group","screening_state","exclusion_reason","software_name","evidence_level","final_corpus_id","notes"
"E-D0072","PHASE2-SEARCH-0054","Crossref","2026-07-31","Determination of Collision Cross-Sections of Protein Ions in an Orbitrap Mass Analyzer","NR","NR","10.1021/acs.analchem.8b00724.s001","https://doi.org/10.1021/acs.analchem.8b00724.s001","E-SINGLE-E-D0072","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0073","PHASE2-SEARCH-0054","Crossref","2026-07-31","MetaProD: A Highly-Configurable Mass Spectrometry Analyzer for Multiplexed Proteomic and Metaproteomic Data","NR","NR","10.1021/acs.jproteome.2c00614.s002","https://doi.org/10.1021/acs.jproteome.2c00614.s002","E-SINGLE-E-D0073","TITLE_ABSTRACT_EXCLUDED","Name-targeted result is not about MIA software","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0074","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","fumiomatsuda/mfapy","fumiomatsuda","2018","MDEwOlJlcG9zaXRvcnkxMzcyMTY0MzE=","https://github.com/fumiomatsuda/mfapy","fumiomatsuda/mfapy","TITLE_ABSTRACT_INCLUDED","NA","fumiomatsuda/mfapy","LEVEL_2_SUPPORTING","","Official repository lead; versioned files inspected for selected load-bearing platforms."
"E-D0075","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","maranasgroup/SteadyState-MFA","maranasgroup","2018","MDEwOlJlcG9zaXRvcnkxNTAxNTE5NzY=","https://github.com/maranasgroup/SteadyState-MFA","maranasgroup/SteadyState-MFA","TITLE_ABSTRACT_INCLUDED","NA","maranasgroup/SteadyState-MFA","LEVEL_2_SUPPORTING","","Official repository lead; versioned files inspected for selected load-bearing platforms."
"E-D0076","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","JBEI/bayflux","JBEI","2023","R_kgDOJYhFLg","https://github.com/JBEI/bayflux","JBEI/bayflux","TITLE_ABSTRACT_INCLUDED","NA","JBEI/bayflux","LEVEL_2_SUPPORTING","","Official repository lead; versioned files inspected for selected load-bearing platforms."
"E-D0077","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","metabolic-engineering/OpenMebius2","metabolic-engineering","2026","R_kgDOQ37WGA","https://github.com/metabolic-engineering/OpenMebius2","metabolic-engineering/OpenMebius2","TITLE_ABSTRACT_INCLUDED","NA","metabolic-engineering/OpenMebius2","LEVEL_2_SUPPORTING","","Official repository lead; versioned files inspected for selected load-bearing platforms."
"E-D0078","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","maranasgroup/Nonstationary-MFA","maranasgroup","2018","MDEwOlJlcG9zaXRvcnkxNTAyMDc0Mzk=","https://github.com/maranasgroup/Nonstationary-MFA","maranasgroup/Nonstationary-MFA","TITLE_ABSTRACT_INCLUDED","NA","maranasgroup/Nonstationary-MFA","LEVEL_2_SUPPORTING","","Official repository lead; versioned files inspected for selected load-bearing platforms."
"E-D0079","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","SteshinSS/khnum","SteshinSS","2019","MDEwOlJlcG9zaXRvcnkxNjY1NzEzODE=","https://github.com/SteshinSS/khnum","E-SINGLE-E-D0079","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0080","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","stephenwwc/13C-MFA","stephenwwc","2019","MDEwOlJlcG9zaXRvcnkyMDUxMTM1Njg=","https://github.com/stephenwwc/13C-MFA","E-SINGLE-E-D0080","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0081","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","SteshinSS/thesis_msu","SteshinSS","2020","MDEwOlJlcG9zaXRvcnkyNDczMzQwMzE=","https://github.com/SteshinSS/thesis_msu","E-SINGLE-E-D0081","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0082","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","MetaSys-LISBP/GL_GNT_bypass","MetaSys-LISBP","2023","R_kgDOKk67IA","https://github.com/MetaSys-LISBP/GL_GNT_bypass","E-SINGLE-E-D0082","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0083","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","ENG4BIODEQBA/HT13CMFA","ENG4BIODEQBA","2024","R_kgDOL62N-Q","https://github.com/ENG4BIODEQBA/HT13CMFA","E-SINGLE-E-D0083","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0084","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","mli154/genome-scale-modeling-with-proteomics-and-13C-MFA","mli154","2025","R_kgDOQpX10w","https://github.com/mli154/genome-scale-modeling-with-proteomics-and-13C-MFA","E-SINGLE-E-D0084","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0085","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","Satoshi-Ohno/Ohno_et_al_2020","Satoshi-Ohno","2018","MDEwOlJlcG9zaXRvcnkxNTMxNDExNzU=","https://github.com/Satoshi-Ohno/Ohno_et_al_2020","E-SINGLE-E-D0085","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0086","PHASE2-SEARCH-0055","GitHub repository search API","2026-07-31","CZLaboratory/MFA_Selongatus","CZLaboratory","2022","R_kgDOHGBOLw","https://github.com/CZLaboratory/MFA_Selongatus","E-SINGLE-E-D0086","TITLE_ABSTRACT_EXCLUDED","Application-specific code, thesis code, or no general software platform","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0087","PHASE2-SEARCH-0069","Official Antoniewicz laboratory page","2026-07-31","Metran Software","Antoniewicz Laboratory","NR","https://cheresearch.engin.umich.edu/mranton/metran.html","https://cheresearch.engin.umich.edu/mranton/metran.html","Metran","FULL_TEXT_INCLUDED","NA","Metran","LEVEL_1_LOAD_BEARING","S0008","Official feature page inspected; licence-mediated distribution documented."
"E-D0088","PHASE2-SEARCH-0070","PubMed DOI lookup","2026-07-31","Metabolic Flux Analysis in Isotope Labeling Experiments Using the Adjoint Approach","Mottelet S; Gaullier G; Sadaka G","2017","10.1109/TCBB.2016.2544299","https://pubmed.ncbi.nlm.nih.gov/28113867/","sysmetab","TITLE_ABSTRACT_INCLUDED","NA","sysmetab","LEVEL_2_SUPPORTING","","Primary abstract verifies stationary/nonstationary adjoint-gradient implementation and an open-source package claim; historical repository was not retrievable."
"E-D0089","PHASE2-SEARCH-0071","GitHub repository API","2026-07-31","seliv55/isodyn","Vitaly Selivanov","2019","R_kgDOGitHub_isodyn","https://github.com/seliv55/isodyn","Isodyn","FULL_TEXT_INCLUDED","NA","Isodyn","LEVEL_1_LOAD_BEARING","S0013","Official repository README and source inspected at commit c4f15c4ddce751d20c84b1916901c590594892e4."
"E-D0090","PHASE2-SEARCH-0072","PMC full-text backward-citation pass","2026-07-31","13CFLUX(v3) software-paper citation network","Stratmann et al.","2025","10.1093/bioinformatics/btaf630","https://pmc.ncbi.nlm.nih.gov/articles/PMC12696647/","13CFLUX(v3)","DUPLICATE","Same software paper/platform already retained through PHASE2-SEARCH-0041","13CFLUX(v3)","LEVEL_3_DISCOVERY_ONLY","S0009","Bounded reference inspection found benchmarked FreeFlux, INCA and influx_si, all already represented; no new decision-software family."
"E-D0091","PHASE2-SEARCH-0073","bioRxiv API","2026-07-31","OpenMebius2: GUI-based software for 13C-metabolic flux analysis with tracer labeling pattern suggestions for accurate flux predictions","Imada T; Shimizu H; Toya Y","2026","10.64898/2026.03.20.698926","https://doi.org/10.64898/2026.03.20.698926","OpenMebius2","FULL_TEXT_INCLUDED","NA","OpenMebius2","LEVEL_1_LOAD_BEARING","S0010","Official preprint metadata and versioned repository inspected; flux-precision tracer suggestion, not mechanism discrimination."
"E-D0092","PHASE2-SEARCH-0074","PMC full-text software-paper pass","2026-07-31","BayFlux primary software paper","Backman et al.","2023","10.1371/journal.pcbi.1011111","https://pmc.ncbi.nlm.nih.gov/articles/PMC10664898/","BayFlux","FULL_TEXT_INCLUDED","NA","BayFlux","LEVEL_1_LOAD_BEARING","S0012","Complete primary software paper and backward software comparisons inspected."
"E-D0093","PHASE2-SEARCH-0074","PMC full-text software-paper pass","2026-07-31","FreeFlux primary software paper","Wu et al.","2023","10.1021/acssynbio.3c00265","https://pmc.ncbi.nlm.nih.gov/articles/PMC10510750/","FreeFlux","FULL_TEXT_INCLUDED","NA","FreeFlux","LEVEL_1_LOAD_BEARING","S0005","Complete primary software paper and backward software comparisons inspected."
"E-D0094","PHASE2-SEARCH-0074","Backward citation from FreeFlux primary software paper","2026-07-31","FluxPyt software lead","NR","NR","10.7717/peerj.4716","https://doi.org/10.7717/peerj.4716","FluxPyt","TITLE_ABSTRACT_INCLUDED","NA","FluxPyt","LEVEL_3_DISCOVERY_ONLY","S0014","New software-family lead from FreeFlux Table 2/references; official implementation, licence and maintenance remain unverified."
"E-D0095","PHASE2-SEARCH-0074","Backward citation from FreeFlux primary software paper","2026-07-31","FiatFlux software lead","NR","NR","10.1186/1471-2105-6-209","https://doi.org/10.1186/1471-2105-6-209","FiatFlux","TITLE_ABSTRACT_INCLUDED","NA","FiatFlux","LEVEL_3_DISCOVERY_ONLY","S0015","New software-family lead from FreeFlux Table 2/references; official implementation, licence and maintenance remain unverified."
"E-D0096","PHASE2-SEARCH-0074","Backward citation from FreeFlux primary software paper","2026-07-31","WUflux software lead","NR","NR","NR","","WUflux","TITLE_ABSTRACT_INCLUDED","NA","WUflux","LEVEL_3_DISCOVERY_ONLY","S0016","New software-family lead from FreeFlux Table 2/references; official implementation, licence and maintenance remain unverified."
"E-D0097","PHASE2-SEARCH-0090","SourceForge project REST API","2026-07-31","FluxPyt official SourceForge project and code","Desai Trunil Shamrao","2018","10.7717/peerj.4716","https://sourceforge.net/p/fluxpyt/","FluxPyt","FULL_TEXT_INCLUDED","NA","FluxPyt","LEVEL_1_LOAD_BEARING","S0014","Official repository inspected at commit beb86d8811941aaaed0a05bcb3f6ebc6f49003ec; version is conflicted: setup.cfg 0.1.7 versus package __version__ 0.1.8."
"E-D0098","PHASE2-SEARCH-0091","PMC primary full text","2026-07-31","FiatFlux – a software for metabolic flux analysis from 13C-glucose experiments","Zamboni N; Fischer E; Sauer U","2005","10.1186/1471-2105-6-209","https://pmc.ncbi.nlm.nih.gov/articles/PMC1199586/","FiatFlux","FULL_TEXT_INCLUDED","NA","FiatFlux","LEVEL_1_LOAD_BEARING","S0015","Complete primary software paper inspected; code is available from authors for academic use but no current public versioned repository was identified."
"E-D0099","PHASE2-SEARCH-0092","PMC primary full text","2026-07-31","WUFlux: an open-source platform for 13C metabolic flux analysis of bacterial metabolism","He L; Wu SG; Zhang M; Chen Y; Tang YJ","2016","10.1186/s12859-016-1314-0","https://pmc.ncbi.nlm.nih.gov/articles/PMC5096001/","WUFlux","FULL_TEXT_INCLUDED","NA","WUFlux","LEVEL_1_LOAD_BEARING","S0016","Complete primary software paper inspected; exact EMU, steady-state inverse fitting, GUI, UQ and multi-tracer-input locations recorded in the Workstream E analysis."
"E-D0100","PHASE2-SEARCH-0093","Official project URL access check","2026-07-31","WUFlux project homepage access route","WUFlux authors","NR","http://www.13cmfa.org/","http://www.13cmfa.org/","WUFlux","FULL_TEXT_UNAVAILABLE","Official project host did not resolve during the documented access check","WUFlux","LEVEL_3_DISCOVERY_ONLY","S0016","Paper-named official project host did not resolve on 2026-07-31; primary software paper remains accessible and is the capability evidence."
